Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2005,Oceania,New Caledonia,0,0,0,0,0
 2005,Oceania,New Zealand,"291,000","8,930",505,575,"281,000"
 2005,America Central and South,Nicaragua,"1,210",10,25,5,"1,170"
 2005,Africa Sub-Saharan,Niger,200,10,10,*,180
 2005,Africa Sub-Saharan,Nigeria,"266,000","2,300","7,150",990,"256,000"
 2005,Oceania,Niue,40,0,*,0,40
 2005,Oceania,Norfolk Island,0,0,0,0,0
 2005,Oceania,Northern Mariana Islands,0,0,0,0,0
 2005,Europe Other,Norway,z,z,z,z,z
 2005,Middle East,Occupied Palestinian Territories,"2,560",30,155,25,"2,350"
 2005,Middle East,Oman,"12,400",60,"1,180",15,"11,100"
 2005,Other,Other and unknown,"20,600",90,210,145,"20,100"
 2005,Asia South,Pakistan,"229,000","4,110","9,830","9,820","205,000"
 2005,Oceania,Palau,10,0,0,5,10
 2005,America Central and South,Panama,"2,610",15,85,15,"2,490"
 2005,Oceania,Papua New Guinea,420,20,15,10,370
 2005,America Central and South,Paraguay,"1,520",10,30,10,"1,470"
 2005,America Central and South,Peru,"10,000",95,395,100,"9,410"
 2005,Asia South East,Philippines,"104,000","11,400","1,390","1,250","89,600"
 2005,Other,Pitcairn Islands (British),55,0,0,0,55
 2005,EU 8,Poland,z,z,z,z,z
 2005,EU 14,Portugal,z,z,z,z,z
 2005,America North,Puerto Rico,0,0,0,0,0
 2005,Middle East,Qatar,"15,900",115,835,5,"14,900"
 2005,Other,Refugee,"51,500",30,85,85,"51,300"
 2005,Africa Sub-Saharan,Reunion,75,5,*,0,70
 2005,EU 2,Romania,"80,700","5,330",990,415,"73,900"
 2005,Europe Other,Russia,"211,000","6,090","14,300",775,"190,000"
 2005,Africa Sub-Saharan,Rwanda,"1,070",*,55,15,"1,000"
 2005,Oceania,Samoa,200,30,5,*,165
 2005,Europe Other,San Marino,510,0,15,0,495
 2005,Africa Sub-Saharan,Sao Tome and Principe,210,0,35,0,175
 2005,Middle East,Saudi Arabia,"55,300",670,"4,190",110,"50,300"
 2005,Africa Sub-Saharan,Senegal,"3,370",140,55,25,"3,160"
 2005,Europe Other,Serbia,z,z,z,z,z
 2005,Europe Other,Serbia and Montenegro,"35,900",375,"1,120",245,"34,200"
 2005,Africa Sub-Saharan,Seychelles,"3,980",65,95,35,"3,790"
 2005,Africa Sub-Saharan,Sierra Leone,"15,100",55,225,170,"14,600"
 2005,Asia South East,Singapore,"76,900",830,"1,440",80,"74,500"
 2005,EU 8,Slovakia,z,z,z,z,z
 2005,EU 8,Slovenia,z,z,z,z,z
 2005,Oceania,Solomon Islands,175,*,5,*,165
 2005,Africa Sub-Saharan,Somalia,"5,580",15,15,"1,400","4,160"
 2005,Africa Sub-Saharan,South Africa,"452,000","27,500","1,170","1,540","422,000"
 2005,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2005,EU 14,Spain,z,z,z,z,z
 2005,Asia South,Sri Lanka,"60,200","1,670","2,210","1,030","55,300"
 2005,Other,St. Helena (British),10,*,*,0,10
 2005,America Central and South,St. Kitts and Nevis,"1,100",15,25,5,"1,060"
 2005,America Central and South,St. Lucia,"5,340",80,130,55,"5,070"
 2005,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z
 2005,America Central and South,St. Martin (French Part),0,0,0,0,0
 2005,America Central and South,St. Pierre and Miquelon,0,0,0,0,0
 2005,America Central and South,St. Vincent and the Grenadines,"2,610",45,65,20,"2,480"
 2005,Other,Stateless,"2,680",5,20,15,"2,640"
 2005,Africa North,Sudan,"11,200",185,550,170,"10,300"
 2005,Africa Sub-Saharan,Sudan (South),z,z,z,z,z
 2005,America Central and South,Surinam,370,0,5,*,365
 2005,Europe Other,Svalbard and Jan Mayen,145,10,5,0,130
 2005,Africa Sub-Saharan,Swaziland,"1,480",180,35,5,"1,260"
 2005,EU 14,Sweden,z,z,z,z,z
 2005,Europe Other,Switzerland,z,z,z,z,z
 2005,Middle East,Syria,"11,900",150,710,95,"10,900"
 2005,Asia East,Taiwan,"52,700",215,"7,040",85,"45,300"
 2005,Asia Central,Tajikistan,585,10,105,0,470
 2005,Africa Sub-Saharan,Tanzania,"14,000",135,815,220,"12,800"
 2005,Asia South East,Thailand,"72,200","1,070","4,640","1,910","64,600"
 2005,Africa Sub-Saharan,Togo,950,5,15,15,915
 2005,Oceania,Tokelau,0,0,0,0,0
 2005,Oceania,Tonga,545,15,10,*,515
 2005,America Central and South,Trinidad and Tobago,"32,600",785,520,140,"31,100"
 2005,Africa North,Tunisia,"9,940",145,410,130,"9,260"
 2005,Europe Other,Turkey,"140,000","1,630","7,470","1,210","129,000"
 2005,Asia Central,Turkmenistan,"2,500",20,365,10,"2,100"
 2005,Other,Turks and Caicos Islands (British),45,0,10,*,35
 2005,Oceania,Tuvalu,110,0,*,*,110
 2005,Africa Sub-Saharan,Uganda,"15,500",225,670,150,"14,400"
 2005,Europe Other,Ukraine,"57,000","6,820","1,480",410,"48,300"
 2005,Middle East,United Arab Emirates,"35,900",230,"1,600",20,"34,000"
 2005,America North,United States,"3,880,000","26,900","70,600","2,540","3,780,000"
 2005,America Central and South,Uruguay,"5,510",35,120,10,"5,340"
 2005,Asia Central,Uzbekistan,"7,610",85,735,40,"6,750"
 2005,Oceania,Vanuatu,100,0,*,0,100
 2005,Europe Other,Vatican City,105,0,5,*,100
 2005,America Central and South,Venezuela,"23,300",235,"1,230",70,"21,700"
 2005,Asia South East,Vietnam,"9,050",160,"1,250",135,"7,500"
 2005,Other,Virgin Islands (British),0,0,0,0,0
 2005,America North,Virgin Islands (US),0,0,0,0,0
 2005,Oceania,Wallis and Futuna,20,*,*,0,15
 2005,Africa North,Western Sahara,0,0,0,0,0
 2005,Middle East,Yemen,"5,040",55,280,285,"4,420"
 2005,Africa Sub-Saharan,Zambia,"12,400",735,550,85,"11,100"
 2005,Africa Sub-Saharan,Zimbabwe,"45,500","2,080","1,020",565,"41,800"
 2006,*Total,*Total,"12,900,000","235,000","326,000","61,700","12,200,000"
 2006,Africa North,*Total Africa North,"135,000","1,910","9,030","1,690","123,000"
 2006,Africa Sub-Saharan,*Total Africa Sub-Saharan,"1,090,000","29,900","19,200","8,840","1,030,000"
 2006,America North,*Total America North,"5,120,000","35,000","76,600","3,790","5,010,000"
 2006,America Central and South,*Total America Central and South ,"594,000","7,570","22,600","3,100","561,000"
 2006,Asia Central,*Total Asia Central,"46,300",545,"4,510","1,890","39,400"
 2006,Asia East,*Total Asia East,"1,310,000","12,800","70,000","2,090","1,230,000"
 2006,Asia South,*Total Asia South,"1,260,000","60,300","44,300","24,100","1,130,000"
 2006,Asia South East,*Total Asia South East,"494,000","18,200","18,300","5,190","452,000"
 2006,EU 14,*Total EU 14,z,z,z,z,z
 2006,EU 2,*Total EU 2,"162,000","9,860","2,280","1,060","149,000"
 2006,EU 8,*Total EU 8,z,z,z,z,z
 2006,EU Other,*Total EU Other,"45,000",350,975,70,"43,700"
 2006,Europe Other,*Total Europe Other,"584,000","18,500","36,900","4,850","524,000"
 2006,Middle East,*Total Middle East,"553,000","3,390","18,500","2,390","529,000"
 2006,Oceania,*Total Oceania,"1,390,000","37,000","2,350","2,230","1,350,000"
 2006,Other,*Total Other,"71,000",110,335,320,"70,200"
 2006,Asia Central,Afghanistan,"15,500",80,110,"1,740","13,500"
 2006,Europe Other,Albania,"16,600",175,430,"1,120","14,900"
 2006,Africa North,Algeria,"25,100",120,445,420,"24,100"
 2006,Oceania,American Samoa,10,*,0,0,10
 2006,Europe Other,Andorra,800,*,15,0,785
 2006,Africa Sub-Saharan,Angola,"6,870",125,360,20,"6,360"
 2006,Other,Anguilla (British),10,0,0,0,10
 2006,America Central and South,Antigua and Barbuda,"2,250",20,30,10,"2,190"
 2006,America Central and South,Argentina,"49,300","1,230","1,160",140,"46,800"
 2006,Europe Other,Armenia,"2,640",125,195,15,"2,300"
 2006,America Central and South,Aruba,75,*,0,*,75
 2006,Oceania,Australia,"1,080,000","28,200","1,830","1,480","1,050,000"
 2006,EU 14,Austria,z,z,z,z,z
 2006,Europe Other,Azerbaijan,"9,100",130,545,50,"8,370"
 2006,America Central and South,"Bahamas, The","4,170",40,100,10,"4,020"
 2006,Middle East,Bahrain,"18,200",65,720,10,"17,400"
 2006,Asia South,Bangladesh,"58,100","2,530","3,870","4,000","47,700"
 2006,America Central and South,Barbados,"12,300",110,200,60,"11,900"
 2006,Europe Other,Belarus,"16,200","1,050",755,90,"14,300"
 2006,EU 14,Belgium,z,z,z,z,z
 2006,America Central and South,Belize,"1,520",35,30,*,"1,460"
 2006,Africa Sub-Saharan,Benin,895,5,40,5,845
 2006,Other,Bermuda (British),300,*,*,*,295
 2006,Asia South,Bhutan,155,0,25,*,130
 2006,America Central and South,Bolivia,"5,700",55,245,25,"5,380"
 2006,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z
 2006,Europe Other,Bosnia and Herzegovina,"7,390",95,150,45,"7,100"
 2006,Africa Sub-Saharan,Botswana,"4,630",195,365,30,"4,040"
 2006,America Central and South,Brazil,"182,000","1,620","9,580",685,"170,000"
 2006,Other,British overseas citizens,"7,340",25,65,10,"7,240"
 2006,Asia South East,Brunei,"7,660",130,770,10,"6,750"
 2006,EU 2,Bulgaria,"78,900","5,420",995,580,"71,900"
 2006,Africa Sub-Saharan,Burkina,385,5,15,*,365
 2006,Asia South East,Burma,"3,390",80,330,90,"2,880"
 2006,Africa Sub-Saharan,Burundi,645,5,15,30,600
 2006,Asia South East,Cambodia,850,5,45,15,785
 2006,Africa Sub-Saharan,Cameroon,"10,100",145,420,100,"9,470"
 2006,America North,Canada,"996,000","7,980","5,500",825,"982,000"
 2006,Africa Sub-Saharan,Cape Verde,505,15,5,*,490
 2006,Other,Cayman Islands (British),85,0,*,0,85
 2006,Africa Sub-Saharan,Central African Republic,60,*,*,0,55
 2006,Africa Sub-Saharan,Chad,235,*,10,5,220
 2006,America Central and South,Chile,"26,600",290,990,50,"25,200"
 2006,Asia East,China,"304,000","5,510","24,400","1,030","273,000"
 2006,Oceania,Christmas Island,0,0,0,0,0
 2006,Oceania,Cocos (Keeling) Islands,*,0,0,0,*
 2006,America Central and South,Colombia,"38,500",425,"2,940",395,"34,700"
 2006,Africa Sub-Saharan,Comoros,125,*,10,0,115
 2006,Africa Sub-Saharan,Congo,"4,930",35,70,135,"4,690"
 2006,Africa Sub-Saharan,Congo (Democratic Republic),"2,710",35,35,195,"2,450"
 2006,Oceania,Cook Islands,0,0,0,0,0
 2006,America Central and South,Costa Rica,"5,510",50,120,5,"5,330"
 2006,EU Other,Croatia,"45,000",350,975,70,"43,700"
 2006,America Central and South,Cuba,"4,640",325,70,115,"4,140"
 2006,America Central and South,Curacao,z,z,z,z,z
 2006,EU Other,Cyprus,z,z,z,z,z
 2006,Europe Other,Cyprus (Northern part of),"2,660",10,25,10,"2,610"
 2006,EU 8,Czech Republic,z,z,z,z,z
 2006,EU 14,Denmark,z,z,z,z,z
 2006,Africa Sub-Saharan,Djibouti,240,*,10,10,220
 2006,America Central and South,Dominica,"1,140",30,20,15,"1,070"
 2006,America Central and South,Dominican Republic,"2,880",50,60,75,"2,690"
 2006,Asia South East,East Timor,180,0,5,0,175
 2006,America Central and South,Ecuador,"8,330",120,410,110,"7,690"
 2006,Africa North,Egypt,"47,400",950,"1,310",340,"44,800"
 2006,America Central and South,El Salvador,"2,170",15,45,10,"2,110"
 2006,Africa Sub-Saharan,Equatorial Guinea,350,15,10,5,320
 2006,Africa Sub-Saharan,Eritrea,"1,790",265,25,100,"1,400"
 2006,EU 8,Estonia,z,z,z,z,z
 2006,Africa Sub-Saharan,Ethiopia,"6,750",450,140,185,"5,970"
 2006,Other,Falkland Islands (British),*,0,0,0,*
 2006,Europe Other,Faroe Islands,635,0,*,0,635
 2006,Oceania,Fiji,"3,120",45,20,50,"3,000"
 2006,EU 14,Finland,z,z,z,z,z
 2006,Europe Other,Former Yugoslavia,z,z,z,z,z
 2006,EU 14,France,z,z,z,z,z
 2006,America Central and South,French Guiana,*,0,0,0,*
 2006,Oceania,French Polynesia,0,0,0,0,0
 2006,Africa Sub-Saharan,Gabon,715,10,35,*,670
 2006,Africa Sub-Saharan,"Gambia, The","10,200",80,455,315,"9,380"
 2006,Europe Other,Georgia,"7,350",145,710,35,"6,470"
 2006,EU 14,Germany,z,z,z,z,z
 2006,Africa Sub-Saharan,Ghana,"73,700","2,390","1,400","1,000","68,900"
 2006,Other,Gibraltar (British),35,0,0,0,35
 2006,EU 14,Greece,z,z,z,z,z
 2006,Europe Other,Greenland,5,0,0,0,5
 2006,America Central and South,Grenada,"2,800",50,45,30,"2,670"
 2006,America Central and South,Guadeloupe,0,0,0,0,0
 2006,Oceania,Guam,*,0,0,*,0
 2006,America Central and South,Guatemala,"3,750",25,135,10,"3,580"
 2006,Africa Sub-Saharan,Guinea,"1,780",25,70,20,"1,660"
 2006,Africa Sub-Saharan,Guinea-Bissau,290,0,15,5,270
 2006,America Central and South,Guyana,"5,620",120,95,120,"5,280"
 2006,America Central and South,Haiti,520,*,10,5,500
 2006,Oceania,Heard Island and McDonald Islands,*,*,0,0,*
 2006,America Central and South,Honduras,"1,960",15,25,5,"1,910"
 2006,Asia East,Hong Kong,"122,000",570,"5,910",225,"115,000"
 2006,EU 8,Hungary,z,z,z,z,z
 2006,Europe Other,Iceland,z,z,z,z,z
 2006,Asia South,India,"846,000","51,100","23,900","6,100","765,000"
 2006,Asia South East,Indonesia,"24,700","1,730",705,160,"22,100"
 2006,Middle East,Iran,"60,500",470,"2,140",490,"57,400"
 2006,Middle East,Iraq,"14,100",85,395,870,"12,700"
 2006,EU 14,Ireland,z,z,z,z,z
 2006,Middle East,Israel,"171,000",860,"1,820",190,"168,000"
 2006,EU 14,Italy,z,z,z,z,z
 2006,Africa Sub-Saharan,Ivory Coast,"5,470",40,140,60,"5,230"
 2006,America Central and South,Jamaica,"21,000",845,240,555,"19,400"
 2006,Asia East,Japan,"563,000","5,000","19,700",530,"538,000"
 2006,Middle East,Jordan,"23,800",195,"1,100",90,"22,400"
 2006,Asia Central,Kazakhstan,"21,300",300,"3,140",50,"17,800"
 2006,Africa Sub-Saharan,Kenya,"43,900",860,"1,040",645,"41,400"
 2006,Oceania,Kiribati,150,0,0,0,150
 2006,Asia East,Korea (North),"2,110",*,35,5,"2,070"
 2006,Asia East,Korea (South),"259,000","1,390","10,900",165,"246,000"
 2006,Europe Other,Kosovo,z,z,z,z,z
 2006,Middle East,Kuwait,"67,700",150,945,35,"66,600"
 2006,Asia Central,Kyrgyzstan,"1,900",40,210,40,"1,610"
 2006,Asia South East,Laos,200,*,5,10,185
 2006,EU 8,Latvia,z,z,z,z,z
 2006,Middle East,Lebanon,"26,500",320,420,145,"25,600"
 2006,Africa Sub-Saharan,Lesotho,810,75,30,5,700
 2006,Africa Sub-Saharan,Liberia,895,20,10,15,845
 2006,Africa North,Libya,"17,200",85,"5,900",95,"11,100"
 2006,Europe Other,Liechtenstein,z,z,z,z,z
 2006,EU 8,Lithuania,z,z,z,z,z
 2006,EU 14,Luxembourg,z,z,z,z,z
 2006,Asia East,Macau,885,5,65,5,815
 2006,Europe Other,Macedonia,"5,870",230,170,70,"5,400"
 2006,Africa Sub-Saharan,Madagascar,510,10,25,*,475
 2006,Africa Sub-Saharan,Malawi,"5,350",200,420,55,"4,680"
 2006,Asia South East,Malaysia,"176,000","1,960","7,360",375,"166,000"
 2006,Asia South,Maldives,"2,010",125,125,5,"1,750"
 2006,Africa Sub-Saharan,Mali,670,35,20,5,610
 2006,EU Other,Malta,z,z,z,z,z
 2006,Oceania,Marshall Islands,15,0,0,0,15
 2006,America Central and South,Martinique,5,0,0,0,5
 2006,Africa North,Mauritania,450,5,25,*,415
 2006,Africa Sub-Saharan,Mauritius,"37,400",380,"1,520",265,"35,200"
 2006,Africa Sub-Saharan,Mayotte,5,0,5,0,0
 2006,America Central and South,Mexico,"119,000",720,"3,520",200,"115,000"
 2006,Oceania,Micronesia,30,0,0,*,30
 2006,Europe Other,Moldova,"5,410","1,310",220,65,"3,820"
 2006,Europe Other,Monaco,790,*,20,5,770
 2006,Asia East,Mongolia,"2,980",45,285,25,"2,630"
 2006,Europe Other,Montenegro,z,z,z,z,z
 2006,Other,Montserrat (British),85,0,0,0,85
 2006,Africa North,Morocco,"20,700",340,520,365,"19,500"
 2006,Africa Sub-Saharan,Mozambique,"1,310",35,40,10,"1,220"
 2006,Africa Sub-Saharan,Namibia,"5,040",90,60,35,"4,860"
 2006,Oceania,Nauru,40,0,0,0,40
 2006,Asia South,Nepal,"25,900",860,"1,030","3,190","20,800"
 2006,EU 14,Netherlands,z,z,z,z,z
 2006,America Central and South,Netherlands Antilles,10,*,0,0,5
 2006,Oceania,New Caledonia,10,5,0,0,*
 2006,Oceania,New Zealand,"307,000","8,680",470,655,"297,000"
 2006,America Central and South,Nicaragua,"1,030",10,20,10,985
 2006,Africa Sub-Saharan,Niger,280,10,10,*,260
 2006,Africa Sub-Saharan,Nigeria,"288,000","2,630","7,580","1,440","277,000"
 2006,Oceania,Niue,20,0,0,0,20
 2006,Oceania,Norfolk Island,0,0,0,0,0
 2006,Oceania,Northern Mariana Islands,0,0,0,0,0
 2006,Europe Other,Norway,z,z,z,z,z
 2006,Middle East,Occupied Palestinian Territories,"2,530",15,210,35,"2,260"
 2006,Middle East,Oman,"12,500",60,"1,490",5,"11,000"
 2006,Other,Other and unknown,"12,400",50,125,210,"12,000"
 2006,Asia South,Pakistan,"262,000","3,800","12,500","9,600","236,000"
 2006,Oceania,Palau,45,0,0,0,45
 2006,America Central and South,Panama,"2,820",30,155,10,"2,620"
 2006,Oceania,Papua New Guinea,390,20,15,*,355
 2006,America Central and South,Paraguay,"1,830",15,35,5,"1,770"
 2006,America Central and South,Peru,"11,100",145,420,130,"10,400"
 2006,Asia South East,Philippines,"109,000","12,300",945,"1,710","94,100"
 2006,Other,Pitcairn Islands (British),*,0,0,0,*
 2006,EU 8,Poland,z,z,z,z,z
 2006,EU 14,Portugal,z,z,z,z,z
 2006,America North,Puerto Rico,*,*,0,0,0
 2006,Middle East,Qatar,"21,000",55,975,*,"19,900"
 2006,Other,Refugee,"48,300",30,115,85,"48,100"
 2006,Africa Sub-Saharan,Reunion,55,0,*,0,50
 2006,EU 2,Romania,"83,400","4,440","1,280",480,"77,200"
 2006,Europe Other,Russia,"245,000","5,890","20,700",800,"218,000"
 2006,Africa Sub-Saharan,Rwanda,"1,350",20,60,30,"1,240"
 2006,Oceania,Samoa,220,25,*,0,190
 2006,Europe Other,San Marino,585,*,25,0,560
 2006,Africa Sub-Saharan,Sao Tome and Principe,270,*,55,5,210
 2006,Middle East,Saudi Arabia,"69,900",675,"5,100",75,"64,100"
 2006,Africa Sub-Saharan,Senegal,"3,010",125,90,30,"2,760"
 2006,Europe Other,Serbia,z,z,z,z,z
 2006,Europe Other,Serbia and Montenegro,"35,300",405,"1,120",290,"33,500"
 2006,Africa Sub-Saharan,Seychelles,"4,190",60,70,30,"4,030"
 2006,Africa Sub-Saharan,Sierra Leone,"15,600",75,265,280,"15,000"
 2006,Asia South East,Singapore,"85,300",800,"1,590",100,"82,800"
 2006,EU 8,Slovakia,z,z,z,z,z
 2006,EU 8,Slovenia,z,z,z,z,z
 2006,Oceania,Solomon Islands,135,*,5,30,105
 2006,Africa Sub-Saharan,Somalia,"3,540",20,5,"1,010","2,500"
 2006,Africa Sub-Saharan,South Africa,"456,000","18,600","1,510","1,630","434,000"
 2006,Other,South Georgia and South Sandwich Islands,5,*,*,0,*
 2006,EU 14,Spain,z,z,z,z,z
 2006,Asia South,Sri Lanka,"65,100","1,880","2,830","1,250","59,100"
 2006,Other,St. Helena (British),10,0,5,0,5
 2006,America Central and South,St. Kitts and Nevis,915,5,25,5,880
 2006,America Central and South,St. Lucia,"4,780",75,80,55,"4,570"
 2006,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z
 2006,America Central and South,St. Martin (French Part),0,0,0,0,0
 2006,America Central and South,St. Pierre and Miquelon,0,0,0,0,0
 2006,America Central and South,St. Vincent and the Grenadines,"2,530",45,75,25,"2,380"
 2006,Other,Stateless,"2,360",5,15,15,"2,320"
 2006,Africa North,Sudan,"13,900",275,470,265,"12,900"
 2006,Africa Sub-Saharan,Sudan (South),z,z,z,z,z
 2006,America Central and South,Surinam,235,*,5,*,230
 2006,Europe Other,Svalbard and Jan Mayen,265,40,15,*,210
 2006,Africa Sub-Saharan,Swaziland,"1,350",45,25,*,"1,280"
 2006,EU 14,Sweden,z,z,z,z,z
 2006,Europe Other,Switzerland,z,z,z,z,z
 2006,Middle East,Syria,"13,200",130,985,110,"12,000"
 2006,Asia East,Taiwan,"61,100",270,"8,770",110,"52,000"
 2006,Asia Central,Tajikistan,675,10,80,5,580
 2006,Africa Sub-Saharan,Tanzania,"15,200",220,"1,080",215,"13,600"
 2006,Asia South East,Thailand,"75,600","1,130","5,120","2,550","66,800"
 2006,Africa Sub-Saharan,Togo,865,10,20,20,820
 2006,Oceania,Tokelau,0,0,0,0,0
 2006,Oceania,Tonga,355,20,5,5,330
 2006,America Central and South,Trinidad and Tobago,"35,300",670,510,155,"33,900"
 2006,Africa North,Tunisia,"10,800",140,360,205,"10,100"
 2006,Europe Other,Turkey,"160,000","1,980","9,480","1,750","147,000"
 2006,Asia Central,Turkmenistan,"2,520",25,180,10,"2,310"
 2006,Other,Turks and Caicos Islands (British),85,*,5,*,75
 2006,Oceania,Tuvalu,135,0,5,0,130
 2006,Africa Sub-Saharan,Uganda,"15,800",240,515,265,"14,700"
 2006,Europe Other,Ukraine,"67,200","6,900","2,360",510,"57,400"
 2006,Middle East,United Arab Emirates,"46,400",155,"1,870",20,"44,300"
 2006,America North,United States,"4,130,000","27,000","71,100","2,960","4,030,000"
 2006,America Central and South,Uruguay,"4,760",40,110,10,"4,600"
 2006,Asia Central,Uzbekistan,"4,530",90,790,55,"3,600"
 2006,Oceania,Vanuatu,60,*,0,*,60
 2006,Europe Other,Vatican City,45,0,0,0,45
 2006,America Central and South,Venezuela,"27,800",355,"1,070",60,"26,300"
 2006,Asia South East,Vietnam,"11,300",85,"1,460",165,"9,610"
 2006,Other,Virgin Islands (British),5,0,*,0,*
 2006,America North,Virgin Islands (US),*,0,*,0,0
 2006,Oceania,Wallis and Futuna,25,*,*,0,20
 2006,Africa North,Western Sahara,0,0,0,0,0
 2006,Middle East,Yemen,"5,500",145,300,315,"4,740"
 2006,Africa Sub-Saharan,Zambia,"12,900",590,535,85,"11,700"
 2006,Africa Sub-Saharan,Zimbabwe,"42,000","1,700",610,540,"39,200"
 2007,*Total,*Total,"12,800,000","204,000","367,000","60,600","12,100,000"
 2007,Africa North,*Total Africa North,"144,000","2,000","7,680","1,580","132,000"
 2007,Africa Sub-Saharan,*Total Africa Sub-Saharan,"1,050,000","23,000","19,700","8,660","1,000,000"
 2007,America North,*Total America North,"5,190,000","36,400","116,000","3,450","5,030,000"
 2007,America Central and South,*Total America Central and South ,"621,000","6,720","24,500","3,120","586,000"
 2007,Asia Central,*Total Asia Central,"51,600",525,"5,280","2,630","43,200"
 2007,Asia East,*Total Asia East,"1,290,000","12,100","66,100","1,910","1,210,000"
 2007,Asia South,*Total Asia South,"1,310,000","53,700","45,400","25,600","1,190,000"
 2007,Asia South East,*Total Asia South East,"516,000","14,800","20,300","5,290","475,000"
 2007,EU 14,*Total EU 14,z,z,z,z,z
 2007,EU 2,*Total EU 2,z,z,z,z,z
 2007,EU 8,*Total EU 8,z,z,z,z,z
 2007,EU Other,*Total EU Other,"53,000",230,755,55,"52,000"
